Frame,Car ID,Speed (km/hr),Heading Angle,Position X,Position Y,Pred X,Pred Y,Output
1157,47,66.27272727272728,-14.036243467926477,357.5,378.0,358.0542014001608,378.5542014001608,0
1158,47,66.27272727272728,90.0,357.5,378.0,355.03530997353386,375.53530997353386,0
1159,47,66.27272727272728,6.34019174590991,357.5,378.0,362.9917009811687,383.4917009811687,0
1160,47,66.27272727272728,26.56505117707799,287.0,377.5,287.7593306332173,378.2593306332173,0
1161,47,66.27272727272728,12.528807709151511,287.0,377.5,292.49675619837564,382.99675619837564,0
1162,47,66.27272727272728,0.0,287.0,377.5,292.5006363636364,383.0006363636364,0
1163,47,66.27272727272728,4.763641690726178,287.0,377.5,287.2817991108749,377.7817991108749,0
1164,47,66.27272727272728,90.0,287.0,377.5,284.53530997353386,375.03530997353386,0
1165,47,66.27272727272728,14.036243467926477,287.0,377.5,287.5542014001608,378.0542014001608,0
1166,47,66.27272727272728,-26.56505117707799,287.0,377.5,287.7593306332173,378.2593306332173,0
1167,47,66.27272727272728,26.56505117707799,287.0,377.5,287.7593306332173,378.2593306332173,0
1168,47,66.27272727272728,9.462322208025617,287.0,377.5,281.5032399483839,372.0032399483839,0
1168,57,53.60808191197472,-14.036243467926477,287.0,377.5,287.44829412155156,377.94829412155156,0
1169,47,66.27272727272728,-30.96375653207352,287.0,377.5,291.94782849365623,382.44782849365623,0
1169,57,53.60808191197472,0.0,287.0,377.5,291.4494707986939,381.9494707986939,0
1170,47,66.27272727272728,26.56505117707799,312.0,380.0,312.7593306332173,380.7593306332173,0
1170,57,53.60808191197472,0.0,312.0,380.0,316.4494707986939,384.4494707986939,0
1171,47,66.27272727272728,0.0,312.0,380.0,317.5006363636364,385.5006363636364,0
1171,57,53.60808191197472,0.0,312.0,380.0,316.4494707986939,384.4494707986939,0
1172,47,66.27272727272728,90.0,312.0,380.0,309.53530997353386,377.53530997353386,0
1172,57,53.60808191197472,26.56505117707799,312.0,380.0,312.6142233835688,380.6142233835688,0
1173,47,66.27272727272728,4.085616779974877,312.0,380.0,308.7736922673278,376.7736922673278,0
1173,57,53.60808191197472,4.398705354995532,312.0,380.0,310.6270508274866,378.6270508274866,0
1174,47,66.27272727272728,45.0,312.0,380.0,314.8896052343086,382.8896052343086,0
1174,57,53.60808191197472,14.036243467926477,312.0,380.0,312.44829412155156,380.44829412155156,0
1175,47,66.27272727272728,4.398705354995532,312.0,380.0,310.302698346516,378.302698346516,0
1175,57,53.60808191197472,0.0,312.0,380.0,316.4494707986939,384.4494707986939,0
1176,47,66.27272727272728,18.43494882292201,312.0,380.0,317.03459309807215,385.03459309807215,0
1176,57,53.60808191197472,45.0,312.0,380.0,314.3374048491563,382.3374048491563,0
1177,47,66.27272727272728,4.085616779974877,312.0,380.0,308.7736922673278,376.7736922673278,0
1178,47,66.27272727272728,45.0,312.0,380.0,314.8896052343086,382.8896052343086,0
1179,47,66.27272727272728,0.0,312.0,380.0,317.5006363636364,385.5006363636364,0
1180,47,66.27272727272728,-26.56505117707799,209.5,378.0,210.2593306332173,378.7593306332173,0
1181,47,66.27272727272728,-18.43494882292201,209.5,378.0,214.53459309807218,383.03459309807215,0
1182,47,66.27272727272728,7.594643368591445,209.5,378.0,210.9105887004533,379.41058870045333,0
1183,47,66.27272727272728,0.0,209.5,378.0,215.00063636363637,383.5006363636364,0
1184,47,66.27272727272728,0.0,209.5,378.0,215.00063636363637,383.5006363636364,0
1185,47,66.27272727272728,0.0,209.5,378.0,215.00063636363637,383.5006363636364,0
1186,47,66.27272727272728,0.0,209.5,378.0,215.00063636363637,383.5006363636364,0
1187,47,66.27272727272728,0.0,209.5,378.0,215.00063636363637,383.5006363636364,0
1188,47,66.27272727272728,5.194428907734806,209.5,378.0,212.05002691308474,380.5500269130847,0
1189,47,66.27272727272728,14.036243467926477,209.5,378.0,210.05420140016082,378.5542014001608,0
1375,70,96.85351467956711,7.125016348901798,204.0,390.5,209.3546582806905,395.8546582806905,0
1376,70,96.85351467956711,6.709836807756933,204.0,390.5,211.3182121552571,397.8182121552571,0
1377,70,96.85351467956711,7.594643368591445,204.0,390.5,206.06148862478472,392.5614886247847,0
1378,70,96.85351467956711,11.309932474020213,204.0,390.5,206.48565948684134,392.9856594868413,0
1379,70,96.85351467956711,10.619655276155134,204.0,390.5,201.04871996489146,387.54871996489146,0
1380,70,96.85351467956711,7.125016348901798,746.0,398.5,751.3546582806905,403.8546582806905,0
1381,70,96.85351467956711,6.709836807756933,746.0,398.5,753.3182121552571,405.8182121552571,0
1382,70,96.85351467956711,3.0127875041833403,746.0,398.5,738.0277514089134,390.5277514089134,0
1400,115,0.0,0.0,217.5,385.5,217.5,385.5,0
1401,115,76.87862065652314,17.10272896905237,217.5,385.5,216.38255363151617,384.38255363151615,0
1402,115,76.87862065652314,13.240519915187205,217.5,385.5,222.4850231984781,390.4850231984781,0
1403,115,76.87862065652314,12.094757077012103,217.5,385.5,223.18436057985133,391.18436057985133,0
1404,115,76.87862065652314,-10.007979801441337,217.5,385.5,212.17381799144047,380.17381799144044,0
1405,115,76.87862065652314,12.094757077012103,217.5,385.5,223.18436057985133,391.18436057985133,0
1652,74,14.727272727272727,63.43494882292201,330.0,381.0,331.0067187300261,382.0067187300261,0
1653,74,14.727272727272727,0.0,330.0,381.0,331.22236363636364,382.22236363636364,0
1654,74,14.727272727272727,45.0,330.0,381.0,330.642134496513,381.642134496513,0
1655,74,14.727272727272727,0.0,330.0,381.0,331.22236363636364,382.22236363636364,0
1656,74,14.727272727272727,45.0,330.0,381.0,330.642134496513,381.642134496513,0
1657,74,14.727272727272727,2.726310993906266,330.0,381.0,328.8815339456382,379.8815339456382,0
1658,74,14.727272727272727,33.690067525979785,330.0,381.0,329.2094091588542,380.2094091588542,0
1659,74,14.727272727272727,-2.6025622024998065,330.0,381.0,328.95095926636543,379.95095926636543,0
1660,74,14.727272727272727,45.0,332.0,381.0,332.642134496513,381.642134496513,0
1661,74,14.727272727272727,2.489552921999156,332.0,381.0,331.0284070438776,380.0284070438776,0
1662,74,14.727272727272727,56.309932474020215,332.0,381.0,333.18769474217953,382.18769474217953,0
1663,74,14.727272727272727,2.2906100426385296,332.0,381.0,331.19416336000165,380.19416336000165,0
1664,74,14.727272727272727,36.86989764584402,332.0,381.0,332.82565214358993,381.82565214358993,0
1665,74,14.727272727272727,6.34019174590991,332.0,381.0,333.2203779958153,382.2203779958153,0
1666,74,14.727272727272727,21.80140948635181,332.0,381.0,330.7995735406319,379.7995735406319,0
1667,74,14.727272727272727,2.0454084888872277,332.0,381.0,331.4413877496556,380.4413877496556,0
1668,74,14.727272727272727,16.69924423399362,332.0,381.0,331.33061107144607,380.33061107144607,0
1669,74,14.727272727272727,5.9061411137704996,332.0,381.0,333.13650108190654,382.13650108190654,0
1670,74,14.727272727272727,0.0,239.0,381.0,240.22236363636364,382.22236363636364,0
1676,146,10.413754413838246,180.0,239.0,381.0,238.48272605659045,380.4827260565905,0
1677,146,10.413754413838246,170.5376777919744,239.0,381.0,239.54290156042057,381.54290156042055,0
1678,146,10.413754413838246,3.0127875041833403,239.0,381.0,238.1428185210592,380.1428185210592,0
1679,146,10.413754413838246,180.0,239.0,381.0,238.48272605659045,380.4827260565905,0
1680,146,10.413754413838246,3.179830119864234,282.5,378.0,281.6362901852584,377.1362901852584,0
1681,146,10.413754413838246,168.6900675259798,282.5,378.0,282.9985908154766,378.4985908154766,0
2074,51,96.85351467956711,174.28940686250036,652.5,383.0,651.9458769490792,382.44587694907926,0
2075,51,96.85351467956711,172.8749836510982,652.5,383.0,644.491833505457,374.99183350545695,0
2076,51,96.85351467956711,171.86989764584402,652.5,383.0,647.6151995561877,378.1151995561877,0
2077,51,96.85351467956711,45.0,652.5,383.0,656.7229803193029,387.22298031930296,0
2078,51,96.85351467956711,-168.6900675259798,652.5,383.0,657.1371626357626,387.6371626357626,0
2079,51,96.85351467956711,176.82016988013578,652.5,383.0,657.5536114103152,388.0536114103151,0
2080,51,96.85351467956711,33.690067525979785,675.0,383.0,669.8007005060316,377.8007005060316,0
2081,51,96.85351467956711,-175.23635830927384,675.0,383.0,681.185417163256,389.18541716325603,0
2082,51,96.85351467956711,164.74488129694225,675.0,383.0,676.5082037566145,384.5082037566145,0
2083,51,96.85351467956711,26.56505117707799,675.0,383.0,676.1097150163794,384.1097150163793,0
2084,51,96.85351467956711,-169.69515353123398,675.0,383.0,683.0291337737676,391.02913377376757,0
2085,51,96.85351467956711,162.89727103094762,675.0,383.0,682.1833173497855,390.18331734978557,0
2086,51,96.85351467956711,0.0,675.0,383.0,683.0388417184041,391.03884171840406,0
2087,51,96.85351467956711,-161.56505117707798,675.0,383.0,673.191045632481,381.19104563248095,0
2088,51,96.85351467956711,171.2538377374448,675.0,383.0,674.702324512018,382.70232451201804,0
2089,51,96.85351467956711,45.0,675.0,383.0,679.2229803193029,387.22298031930296,0
2090,51,96.85351467956711,180.0,674.5,381.5,669.6890742300587,376.68907423005874,0
2091,51,96.85351467956711,180.0,674.5,381.5,669.6890742300587,376.68907423005874,0
2092,51,96.85351467956711,170.5376777919744,674.5,381.5,679.5492763860343,386.54927638603425,0
2093,51,96.85351467956711,180.0,674.5,381.5,669.6890742300587,376.68907423005874,0
2094,51,96.85351467956711,170.5376777919744,674.5,381.5,679.5492763860343,386.54927638603425,0
2095,51,96.85351467956711,0.0,674.5,381.5,682.5388417184041,389.53884171840406,0
